"var_yr","var_scope","var_grade","var_key","var_schoolType","var_ethnic","population","var_type","metrics_new"
2021,"city_chi","hs","sat_bench","cps","black","888","count","city_chi___2021___hs___sat_bench___cps___black"
2021,"city_chi","hs","sat_bench","cps","hispanic","2170","count","city_chi___2021___hs___sat_bench___cps___hispanic"
2021,"city_chi","hs","sat_bench","cps","white","1449","count","city_chi___2021___hs___sat_bench___cps___white"
2021,"city_chi","hs","sat_bench","cps","asian","574","count","city_chi___2021___hs___sat_bench___cps___asian"
2021,"city_chi","hs","sat_math_meet&exceeds","cps","all","5081","count","city_chi___2021___hs___sat_math_meet&exceeds___cps___all"
2021,"city_chi","hs","sat_math_meet&exceeds","cps","black_hispanic","3058","count","city_chi___2021___hs___sat_math_meet&exceeds___cps___black_hispanic"
2021,"city_chi","hs","sat_math_meet&exceeds","cps","white_asian","2023","count","city_chi___2021___hs___sat_math_meet&exceeds___cps___white_asian"
2021,"city_chi","hs","sat_math_meet&exceeds","cps","black","888","count","city_chi___2021___hs___sat_math_meet&exceeds___cps___black"
2021,"city_chi","hs","sat_math_meet&exceeds","cps","hispanic","2170","count","city_chi___2021___hs___sat_math_meet&exceeds___cps___hispanic"
2021,"city_chi","hs","sat_math_meet&exceeds","cps","white","1449","count","city_chi___2021___hs___sat_math_meet&exceeds___cps___white"
2021,"city_chi","hs","sat_math_meet&exceeds","cps","asian","574","count","city_chi___2021___hs___sat_math_meet&exceeds___cps___asian"
2021,"city_chi","k8_4th","math_prof","cps","all","5481","count","city_chi___2021___k8_4th___math_prof___cps___all"
2021,"city_chi","k8_4th","math_prof","cps","black_hispanic","3922","count","city_chi___2021___k8_4th___math_prof___cps___black_hispanic"
2021,"city_chi","k8_4th","math_prof","cps","white_asian","1559","count","city_chi___2021___k8_4th___math_prof___cps___white_asian"
2021,"city_chi","k8_4th","math_prof","cps","black","1324","count","city_chi___2021___k8_4th___math_prof___cps___black"
2021,"city_chi","k8_4th","math_prof","cps","hispanic","2598","count","city_chi___2021___k8_4th___math_prof___cps___hispanic"
2021,"city_chi","k8_4th","math_prof","cps","white","1125","count","city_chi___2021___k8_4th___math_prof___cps___white"
2021,"city_chi","k8_4th","math_prof","cps","asian","434","count","city_chi___2021___k8_4th___math_prof___cps___asian"
2021,"region_chi_msa","emp","csjob_t11_age19to24","allSchools","all","5518","count","region_chi_msa___2021___emp___csjob_t11_age19to24___allSchools___all"
2021,"region_chi_msa","emp","csjob_t11_age19to24","allSchools","black_hispanic","797","count","region_chi_msa___2021___emp___csjob_t11_age19to24___allSchools___black_hispanic"
2021,"region_chi_msa","emp","csjob_t11_age19to24","allSchools","white_asian","4721","count","region_chi_msa___2021___emp___csjob_t11_age19to24___allSchools___white_asian"
2021,"region_chi_msa","emp","csjob_t11_age19to24","allSchools","black","385","count","region_chi_msa___2021___emp___csjob_t11_age19to24___allSchools___black"
2021,"region_chi_msa","emp","csjob_t11_age19to24","allSchools","hispanic","412","count","region_chi_msa___2021___emp___csjob_t11_age19to24___allSchools___hispanic"
2021,"region_chi_msa","emp","csjob_t11_age19to24","allSchools","white","3228","count","region_chi_msa___2021___emp___csjob_t11_age19to24___allSchools___white"
2021,"region_chi_msa","emp","csjob_t11_age19to24","allSchools","asian","1493","count","region_chi_msa___2021___emp___csjob_t11_age19to24___allSchools___asian"
2021,"state_il","hs","apcs_pass","allSchools","all","5720","count","state_il___2021___hs___apcs_pass___allSchools___all"
2021,"state_il","hs","apcs_pass","allSchools","black_hispanic","1087","count","state_il___2021___hs___apcs_pass___allSchools___black_hispanic"
2021,"state_il","hs","apcs_pass","allSchools","white_asian","4633","count","state_il___2021___hs___apcs_pass___allSchools___white_asian"
2021,"state_il","hs","apcs_pass","allSchools","black","179","count","state_il___2021___hs___apcs_pass___allSchools___black"
2021,"state_il","hs","apcs_pass","allSchools","hispanic","908","count","state_il___2021___hs___apcs_pass___allSchools___hispanic"
2021,"state_il","hs","apcs_pass","allSchools","white","2868","count","state_il___2021___hs___apcs_pass___allSchools___white"
2021,"state_il","hs","apcs_pass","allSchools","asian","1765","count","state_il___2021___hs___apcs_pass___allSchools___asian"
2021,"college","col","t3_stanford_total_enrol","allSchools","all","5963","count","college___2021___col___t3_stanford_total_enrol___allSchools___all"
2021,"college","col","t3_stanford_total_enrol","allSchools","black_hispanic","1911","count","college___2021___col___t3_stanford_total_enrol___allSchools___black_hispanic"
2021,"college","col","t3_stanford_total_enrol","allSchools","white_asian","4052","count","college___2021___col___t3_stanford_total_enrol___allSchools___white_asian"
